Time,event,event_bool,last
2013-01-01 01:40:53.072,n,True,
2013-01-01 01:41:25.563,e,False,
2013-01-01 01:51:23.293,e,False,0 days 00:09:57.730000000
2013-01-01 01:57:14.168,e,False,0 days 00:05:50.875000000
2013-01-01 01:58:07.273,e,False,0 days 00:00:53.105000000
2013-01-01 02:05:36.250,e,False,0 days 00:07:28.977000000
2013-01-01 02:35:08.501,e,False,0 days 00:29:32.251000000
2013-01-01 02:37:36.498,e,False,0 days 00:02:27.997000000
2013-01-01 03:22:15.091,e,False,0 days 00:44:38.593000000
2013-01-01 03:35:58.140,e,False,0 days 00:13:43.049000000
2013-01-01 03:39:47.682,e,False,0 days 00:03:49.542000000
2013-01-01 04:22:18.756,e,False,0 days 00:42:31.074000000
2013-01-01 04:33:08.892,e,False,0 days 00:10:50.136000000
2013-01-01 04:43:17.985,n,True,
2013-01-01 04:49:49.281,e,False,0 days 00:16:40.389000000
2013-01-01 05:10:26.957,e,False,0 days 00:20:37.676000000
2013-01-01 05:17:15.411,e,False,0 days 00:06:48.454000000
2013-01-01 06:11:15.033,e,False,0 days 00:53:59.622000000
2013-01-01 06:46:36.406,e,False,0 days 00:35:21.373000000
2013-01-01 07:26:00.488,e,False,0 days 00:39:24.082000000
